,housing_price
0,
1,
2,
3,
4,81511.0
5,
6,49799.0
7,66023.0
8,76513.42857142857
9,56208.5
10,71508.0
11,
12,70147.0
13,74513.5
14,63298.2
15,58841.0
16,
17,
18,78627.2
19,55303.0
20,72210.33333333333
21,71718.53846153847
22,
23,62519.0
24,62731.666666666664
25,74969.25
26,80256.16666666667
27,79813.69230769231
28,93956.875
29,83215.0
30,65691.0
31,78335.0
32,76924.5
33,53668.0
34,54192.5
35,69320.25
36,64461.5
37,60836.166666666664
38,90328.9
39,
40,64034.0
41,71215.625
42,65290.0
43,57024.0
44,72273.0
45,
46,77923.4375
47,
48,66554.33333333333
49,89036.2
50,61846.5
51,84177.0
52,
53,63731.0
54,75546.5
55,88627.0
56,
57,73560.33333333333
58,61459.0
59,69459.5
60,69149.5
61,87102.75
62,71575.0
63,58911.5
64,60308.8
65,49709.5
66,57823.0
67,69864.5
68,74181.0
69,83398.25
70,90159.0
71,64310.5
72,79692.375
73,82798.33333333333
74,77856.33333333333
75,75272.0
76,65236.0
77,
78,63785.8
79,
80,78886.0
81,
82,
83,61097.333333333336
84,66638.0
85,46184.5
86,70387.5
87,69955.6
88,66534.0
89,66506.75
90,77037.33333333333
91,73165.0
92,
93,83427.0
94,
95,
96,70691.75
97,
98,59670.0
99,77647.0
100,74280.0
101,64493.142857142855
102,45478.0
103,58258.0
104,47809.0
105,69338.0
106,
107,61213.333333333336
108,73650.33333333333
109,68348.25
110,68507.0
111,
112,39357.0
113,
114,62518.666666666664
115,63163.0
116,49404.5
117,75407.66666666667
118,63036.0
119,
120,69073.0
121,
122,55952.0
123,
124,50346.0
125,64129.5
126,
127,
128,
129,62916.6
130,66231.0
131,57544.0
132,47944.0
133,58264.833333333336
134,60342.5
135,
136,51199.0
137,53807.0
138,55770.0
139,61031.333333333336
140,50660.25
141,
142,79450.0
143,
144,68812.0
145,
146,55773.5
147,71118.5
148,71194.0
149,69270.0
150,
151,64868.0
152,56001.0
153,
154,53212.142857142855
155,47151.0
156,60537.0
157,47587.666666666664
158,
159,66766.75
160,70018.0
161,92584.0
162,
163,69587.0
164,
165,
166,60076.0
167,
168,
169,74056.0
170,83772.0
171,75603.0
172,
173,84845.0
174,62285.0
175,
176,57778.0
177,59323.25
178,76084.0
179,70869.5
180,42990.5
181,49729.0
182,54866.90909090909
183,91795.0
184,70213.0
185,87633.0
186,49135.916666666664
187,50566.666666666664
188,
189,60391.0
190,
191,91600.0
192,63556.5
193,56252.0
194,34723.0
195,76151.57142857143
196,69039.33333333333
197,49390.0
198,70796.0
199,43831.0
200,51127.529411764706
201,65508.0
202,58378.0
203,70632.0
204,
205,50101.0
206,61484.77777777778
207,52754.5
208,
209,
210,70694.5
211,82344.0
212,73922.625
213,
214,48720.5
215,53459.0
216,48898.5
217,91084.2
218,66912.0
219,46786.5
220,
221,23984.0
